student_id,name,grade,section,gender,aspiration,liked_subjects,disliked_subjects,psychometric_score,performance,career_suggestions,progress,assigned_teacher_id,parent_id,risk_flag
S0012,Lauren Hull,9,2,Male,['Scientist'],"['Social Science', 'Science']","['Math', 'English', 'Computer Science', 'Economics', 'History']",99,"{'Math': 80, 'Science': 58, 'English': 65, 'Social Science': 79, 'Computer Science': 55, 'Economics': 79, 'History': 71}","['Pilot', 'Lawyer', 'Scientist', 'Entrepreneur', 'Teacher']",0.99,T018,P0012,Normal
S0013,Jason Johnson,12,3,Male,"['Artist', 'Doctor']","['Economics', 'Computer Science', 'Math']","['Science', 'Social Science', 'History', 'English']",50,"{'Math': 75, 'Science': 58, 'English': 58, 'Social Science': 92, 'Computer Science': 85, 'Economics': 87, 'History': 88}","['Doctor', 'Writer', 'Engineer', 'Scientist', 'Pilot']",0.25,T003,P0013,At Risk
S0014,Patrick Edwards,10,7,Male,"['Artist', 'Doctor', 'Engineer']","['Economics', 'Computer Science']","['Math', 'Science', 'English', 'Social Science', 'History']",60,"{'Math': 91, 'Science': 88, 'English': 75, 'Social Science': 71, 'Computer Science': 68, 'Economics': 97, 'History': 100}","['Artist', 'Lawyer', 'Scientist', 'Engineer', 'Entrepreneur']",0.71,T015,P0014,Normal
S0015,Daniel Lopez,11,2,Male,"['Teacher', 'Engineer']",['Computer Science'],"['Math', 'Science', 'English', 'Social Science', 'Economics', 'History']",63,"{'Math': 68, 'Science': 87, 'English': 71, 'Social Science': 63, 'Computer Science': 77, 'Economics': 59, 'History': 70}","['Lawyer', 'Data Scientist', 'Pilot', 'Scientist', 'Teacher']",0.76,T020,P0015,Normal
S0016,Lynn Jones,9,9,Female,"['Engineer', 'Data Scientist', 'Lawyer']",['Math'],"['Science', 'English', 'Social Science', 'Computer Science', 'Economics', 'History']",61,"{'Math': 90, 'Science': 64, 'English': 72, 'Social Science': 73, 'Computer Science': 93, 'Economics': 68, 'History': 100}","['Artist', 'Lawyer', 'Pilot', 'Data Scientist', 'Doctor']",0.27,T014,P0016,At Risk
S0017,Joseph Barry,11,1,Male,"['Data Scientist', 'Lawyer']",['Economics'],"['Math', 'Science', 'English', 'Social Science', 'Computer Science', 'History']",44,"{'Math': 83, 'Science': 90, 'English': 100, 'Social Science': 82, 'Computer Science': 90, 'Economics': 55, 'History': 62}","['Data Scientist', 'Writer', 'Doctor', 'Scientist', 'Teacher']",0.66,T005,P0017,At Risk
S0018,Rebecca Williams,12,3,Male,"['Entrepreneur', 'Doctor']","['Science', 'Economics']","['Math', 'English', 'Social Science', 'Computer Science', 'History']",87,"{'Math': 70, 'Science': 97, 'English': 61, 'Social Science': 77, 'Computer Science': 90, 'Economics': 81, 'History': 94}","['Data Scientist', 'Artist', 'Teacher', 'Scientist', 'Engineer']",0.9,T001,P0018,Normal
S0019,Alan Lutz,10,6,Female,"['Artist', 'Lawyer', 'Data Scientist']","['Math', 'Social Science', 'History']","['Science', 'Economics', 'Computer Science', 'English']",54,"{'Math': 85, 'Science': 69, 'English': 67, 'Social Science': 84, 'Computer Science': 77, 'Economics': 74, 'History': 69}","['Doctor', 'Artist', 'Scientist', 'Data Scientist', 'Pilot']",0.88,T025,P0019,Normal
S0020,Ryan Moreno,11,6,Female,"['Writer', 'Entrepreneur', 'Doctor']",['English'],"['Math', 'Science', 'Social Science', 'Computer Science', 'Economics', 'History']",62,"{'Math': 66, 'Science': 92, 'English': 71, 'Social Science': 57, 'Computer Science': 61, 'Economics': 93, 'History': 82}","['Entrepreneur', 'Scientist', 'Engineer', 'Artist', 'Lawyer']",0.35,T002,P0020,At Risk
S0021,David Rodriguez,12,1,Male,"['Scientist', 'Engineer']","['English', 'Computer Science', 'History']","['Economics', 'Social Science', 'Math', 'Science']",60,"{'Math': 97, 'Science': 62, 'English': 74, 'Social Science': 87, 'Computer Science': 74, 'Economics': 97, 'History': 81}","['Scientist', 'Lawyer', 'Data Scientist', 'Engineer', 'Artist']",0.73,T013,P0021,Normal
S0022,Roy Ponce,10,10,Female,"['Writer', 'Doctor']","['English', 'Science']","['Math', 'Social Science', 'Computer Science', 'Economics', 'History']",68,"{'Math': 82, 'Science': 92, 'English': 93, 'Social Science': 96, 'Computer Science': 75, 'Economics': 84, 'History': 83}","['Artist', 'Writer', 'Pilot', 'Scientist', 'Entrepreneur']",0.33,T003,P0022,At Risk
S0023,Jesus Ramirez,11,9,Female,['Artist'],"['English', 'Science', 'Economics']","['Social Science', 'Math', 'History', 'Computer Science']",69,"{'Math': 64, 'Science': 56, 'English': 57, 'Social Science': 70, 'Computer Science': 85, 'Economics': 94, 'History': 59}","['Scientist', 'Artist', 'Teacher', 'Writer', 'Pilot']",0.39,T021,P0023,At Risk
S0024,Jeffrey Odonnell,9,2,Female,['Data Scientist'],"['Computer Science', 'Social Science', 'Math']","['Science', 'Economics', 'History', 'English']",73,"{'Math': 90, 'Science': 70, 'English': 62, 'Social Science': 84, 'Computer Science': 63, 'Economics': 84, 'History': 97}","['Writer', 'Entrepreneur', 'Pilot', 'Lawyer', 'Teacher']",0.9,T014,P0024,Normal
S0025,Kelly Park,12,3,Female,"['Lawyer', 'Artist']","['English', 'Computer Science', 'Social Science']","['Economics', 'Math', 'History', 'Science']",55,"{'Math': 95, 'Science': 70, 'English': 72, 'Social Science': 83, 'Computer Science': 59, 'Economics': 100, 'History': 73}","['Lawyer', 'Entrepreneur', 'Writer', 'Teacher', 'Doctor']",0.31,T008,P0025,At Risk
S0026,Stacy Berg DDS,12,3,Male,['Scientist'],"['English', 'Computer Science']","['Math', 'Science', 'Social Science', 'Economics', 'History']",100,"{'Math': 84, 'Science': 81, 'English': 58, 'Social Science': 68, 'Computer Science': 81, 'Economics': 79, 'History': 92}","['Doctor', 'Scientist', 'Pilot', 'Teacher', 'Data Scientist']",0.44,T013,P0026,At Risk
S0027,Danielle Smith,12,9,Male,"['Artist', 'Lawyer']","['Social Science', 'Math']","['Science', 'English', 'Computer Science', 'Economics', 'History']",98,"{'Math': 79, 'Science': 76, 'English': 97, 'Social Science': 98, 'Computer Science': 80, 'Economics': 65, 'History': 84}","['Data Scientist', 'Writer', 'Doctor', 'Artist', 'Lawyer']",0.65,T001,P0027,Normal
S0028,Edward Murphy,9,7,Male,"['Data Scientist', 'Doctor']","['Social Science', 'English']","['Math', 'Science', 'Computer Science', 'Economics', 'History']",56,"{'Math': 68, 'Science': 84, 'English': 75, 'Social Science': 76, 'Computer Science': 79, 'Economics': 72, 'History': 81}","['Engineer', 'Pilot', 'Doctor', 'Entrepreneur', 'Lawyer']",0.24,T012,P0028,At Risk
S0029,Audrey Johnson,10,2,Male,['Artist'],['History'],"['Math', 'Science', 'English', 'Social Science', 'Computer Science', 'Economics']",47,"{'Math': 56, 'Science': 94, 'English': 64, 'Social Science': 70, 'Computer Science': 63, 'Economics': 85, 'History': 97}","['Teacher', 'Artist', 'Pilot', 'Entrepreneur', 'Data Scientist']",0.81,T006,P0029,At Risk
S0030,Jenna Mcintyre,9,3,Female,['Teacher'],['English'],"['Math', 'Science', 'Social Science', 'Computer Science', 'Economics', 'History']",77,"{'Math': 91, 'Science': 98, 'English': 79, 'Social Science': 80, 'Computer Science': 100, 'Economics': 67, 'History': 59}","['Artist', 'Engineer', 'Lawyer', 'Scientist', 'Entrepreneur']",0.67,T004,P0030,Normal
S0031,Gregory Mora,9,6,Female,"['Entrepreneur', 'Engineer', 'Teacher']",['History'],"['Math', 'Science', 'English', 'Social Science', 'Computer Science', 'Economics']",85,"{'Math': 81, 'Science': 86, 'English': 61, 'Social Science': 82, 'Computer Science': 78, 'Economics': 95, 'History': 84}","['Data Scientist', 'Scientist', 'Teacher', 'Entrepreneur', 'Lawyer']",0.96,T009,P0031,Normal
S0032,Claudia Edwards,12,8,Female,"['Teacher', 'Lawyer', 'Entrepreneur']",['History'],"['Math', 'Science', 'English', 'Social Science', 'Computer Science', 'Economics']",82,"{'Math': 60, 'Science': 72, 'English': 83, 'Social Science': 70, 'Computer Science': 84, 'Economics': 91, 'History': 94}","['Scientist', 'Entrepreneur', 'Doctor', 'Artist', 'Data Scientist']",0.34,T007,P0032,At Risk
S0033,Amanda Pacheco,11,5,Female,"['Teacher', 'Lawyer']","['Math', 'Computer Science', 'Science']","['Economics', 'Social Science', 'History', 'English']",70,"{'Math': 60, 'Science': 70, 'English': 81, 'Social Science': 86, 'Computer Science': 90, 'Economics': 70, 'History': 99}","['Pilot', 'Teacher', 'Doctor', 'Writer', 'Data Scientist']",0.38,T023,P0033,At Risk
S0034,Sandra Davis,10,5,Female,"['Writer', 'Teacher']","['Social Science', 'Economics']","['Math', 'Science', 'English', 'Computer Science', 'History']",56,"{'Math': 90, 'Science': 76, 'English': 77, 'Social Science': 99, 'Computer Science': 84, 'Economics': 72, 'History': 74}","['Artist', 'Engineer', 'Teacher', 'Data Scientist', 'Doctor']",0.79,T025,P0034,Normal
S0035,Samantha Sanford,10,4,Male,"['Pilot', 'Lawyer', 'Writer']",['History'],"['Math', 'Science', 'English', 'Social Science', 'Computer Science', 'Economics']",85,"{'Math': 67, 'Science': 73, 'English': 69, 'Social Science': 78, 'Computer Science': 66, 'Economics': 74, 'History': 55}","['Writer', 'Data Scientist', 'Lawyer', 'Doctor', 'Scientist']",0.64,T023,P0035,Normal
S0036,Cindy Castro,10,8,Male,['Teacher'],"['Social Science', 'History']","['Math', 'Science', 'English', 'Computer Science', 'Economics']",92,"{'Math': 83, 'Science': 76, 'English': 66, 'Social Science': 58, 'Computer Science': 71, 'Economics': 85, 'History': 62}","['Engineer', 'Scientist', 'Pilot', 'Doctor', 'Lawyer']",0.7,T002,P0036,Normal
S0037,Kimberly Townsend,10,3,Female,['Artist'],['Computer Science'],"['Math', 'Science', 'English', 'Social Science', 'Economics', 'History']",68,"{'Math': 81, 'Science': 93, 'English': 93, 'Social Science': 94, 'Computer Science': 69, 'Economics': 88, 'History': 79}","['Pilot', 'Lawyer', 'Scientist', 'Data Scientist', 'Writer']",0.69,T020,P0037,Normal
S0038,Joseph Ross,9,4,Male,"['Engineer', 'Data Scientist']",['Science'],"['Math', 'English', 'Social Science', 'Computer Science', 'Economics', 'History']",78,"{'Math': 90, 'Science': 59, 'English': 65, 'Social Science': 55, 'Computer Science': 81, 'Economics': 83, 'History': 99}","['Pilot', 'Lawyer', 'Doctor', 'Engineer', 'Data Scientist']",0.76,T023,P0038,Normal
S0039,Misty Guzman,12,2,Male,"['Teacher', 'Artist']","['Math', 'Computer Science']","['Science', 'English', 'Social Science', 'Economics', 'History']",50,"{'Math': 69, 'Science': 96, 'English': 64, 'Social Science': 72, 'Computer Science': 64, 'Economics': 59, 'History': 58}","['Lawyer', 'Teacher', 'Pilot', 'Doctor', 'Artist']",0.74,T023,P0039,Normal
S0040,Deanna Parsons,12,5,Female,"['Engineer', 'Doctor']","['Economics', 'English']","['Math', 'Science', 'Social Science', 'Computer Science', 'History']",77,"{'Math': 93, 'Science': 71, 'English': 56, 'Social Science': 60, 'Computer Science': 69, 'Economics': 98, 'History': 91}","['Doctor', 'Lawyer', 'Teacher', 'Scientist', 'Engineer']",0.57,T021,P0040,Normal
S0041,Kimberly Mack,12,5,Male,"['Scientist', 'Pilot', 'Engineer']","['English', 'Social Science']","['Math', 'Science', 'Computer Science', 'Economics', 'History']",84,"{'Math': 76, 'Science': 75, 'English': 97, 'Social Science': 61, 'Computer Science': 65, 'Economics': 76, 'History': 81}","['Pilot', 'Lawyer', 'Scientist', 'Teacher', 'Writer']",0.23,T003,P0041,At Risk
S0042,Chad Jones,11,5,Female,['Scientist'],"['History', 'Math', 'Computer Science']","['Science', 'Economics', 'Social Science', 'English']",88,"{'Math': 84, 'Science': 81, 'English': 58, 'Social Science': 67, 'Computer Science': 88, 'Economics': 78, 'History': 94}","['Pilot', 'Teacher', 'Doctor', 'Engineer', 'Data Scientist']",0.63,T030,P0042,Normal
S0043,Tim Richardson,11,8,Female,['Doctor'],"['Computer Science', 'Science', 'Economics']","['Social Science', 'Math', 'History', 'English']",93,"{'Math': 74, 'Science': 90, 'English': 55, 'Social Science': 90, 'Computer Science': 81, 'Economics': 60, 'History': 69}","['Engineer', 'Pilot', 'Teacher', 'Entrepreneur', 'Writer']",0.59,T023,P0043,Normal
S0044,Jessica Cruz,11,9,Female,"['Pilot', 'Teacher']",['Social Science'],"['Math', 'Science', 'English', 'Computer Science', 'Economics', 'History']",95,"{'Math': 90, 'Science': 64, 'English': 79, 'Social Science': 67, 'Computer Science': 93, 'Economics': 87, 'History': 63}","['Engineer', 'Lawyer', 'Scientist', 'Data Scientist', 'Writer']",0.41,T001,P0044,At Risk
S0045,Richard Hughes MD,11,5,Female,['Pilot'],"['Social Science', 'English', 'Economics']","['Math', 'History', 'Computer Science', 'Science']",55,"{'Math': 90, 'Science': 89, 'English': 79, 'Social Science': 84, 'Computer Science': 75, 'Economics': 67, 'History': 99}","['Teacher', 'Scientist', 'Artist', 'Writer', 'Pilot']",0.23,T024,P0045,At Risk
S0046,Brent Blevins,12,7,Female,"['Data Scientist', 'Pilot', 'Doctor']",['Computer Science'],"['Math', 'Science', 'English', 'Social Science', 'Economics', 'History']",40,"{'Math': 92, 'Science': 76, 'English': 61, 'Social Science': 83, 'Computer Science': 61, 'Economics': 88, 'History': 84}","['Data Scientist', 'Scientist', 'Teacher', 'Doctor', 'Artist']",0.82,T009,P0046,At Risk
S0047,Nancy Long,11,10,Female,"['Engineer', 'Entrepreneur', 'Scientist']","['Economics', 'History']","['Math', 'Science', 'English', 'Social Science', 'Computer Science']",83,"{'Math': 86, 'Science': 89, 'English': 57, 'Social Science': 94, 'Computer Science': 59, 'Economics': 70, 'History': 95}","['Lawyer', 'Artist', 'Engineer', 'Writer', 'Doctor']",0.8,T023,P0047,Normal
S0048,Christine Hoffman,9,8,Male,"['Lawyer', 'Doctor', 'Writer']","['History', 'Math']","['Science', 'English', 'Social Science', 'Computer Science', 'Economics']",66,"{'Math': 73, 'Science': 77, 'English': 78, 'Social Science': 82, 'Computer Science': 64, 'Economics': 70, 'History': 88}","['Teacher', 'Data Scientist', 'Writer', 'Engineer', 'Doctor']",0.68,T013,P0048,Normal
S0049,Shelly Strong,10,8,Male,['Pilot'],"['English', 'Social Science', 'History']","['Economics', 'Math', 'Computer Science', 'Science']",44,"{'Math': 97, 'Science': 55, 'English': 84, 'Social Science': 73, 'Computer Science': 98, 'Economics': 89, 'History': 65}","['Pilot', 'Entrepreneur', 'Lawyer', 'Writer', 'Artist']",0.75,T015,P0049,At Risk
S0050,Alicia Cook,11,4,Female,"['Engineer', 'Artist']","['Computer Science', 'English']","['Math', 'Science', 'Social Science', 'Economics', 'History']",57,"{'Math': 91, 'Science': 73, 'English': 99, 'Social Science': 73, 'Computer Science': 56, 'Economics': 97, 'History': 80}","['Doctor', 'Teacher', 'Pilot', 'Scientist', 'Data Scientist']",0.81,T008,P0050,Normal
S0051,Matthew Strickland,11,4,Male,"['Lawyer', 'Data Scientist', 'Engineer']","['Economics', 'Math', 'English']","['Social Science', 'History', 'Computer Science', 'Science']",60,"{'Math': 83, 'Science': 57, 'English': 92, 'Social Science': 78, 'Computer Science': 63, 'Economics': 60, 'History': 73}","['Scientist', 'Data Scientist', 'Artist', 'Engineer', 'Lawyer']",0.89,T012,P0051,Normal
S0052,Michael Lee,11,3,Female,"['Lawyer', 'Entrepreneur']",['Social Science'],"['Math', 'Science', 'English', 'Computer Science', 'Economics', 'History']",63,"{'Math': 59, 'Science': 64, 'English': 69, 'Social Science': 98, 'Computer Science': 98, 'Economics': 80, 'History': 90}","['Engineer', 'Scientist', 'Doctor', 'Data Scientist', 'Lawyer']",0.3,T012,P0052,At Risk
S0053,Sabrina Kirk,11,10,Female,"['Entrepreneur', 'Engineer', 'Artist']","['Math', 'Computer Science']","['Science', 'English', 'Social Science', 'Economics', 'History']",92,"{'Math': 90, 'Science': 75, 'English': 94, 'Social Science': 69, 'Computer Science': 96, 'Economics': 59, 'History': 95}","['Pilot', 'Lawyer', 'Scientist', 'Doctor', 'Engineer']",0.24,T002,P0053,At Risk
S0054,Aimee Edwards,11,8,Male,['Artist'],"['Science', 'Social Science', 'Economics']","['Math', 'History', 'Computer Science', 'English']",96,"{'Math': 78, 'Science': 97, 'English': 99, 'Social Science': 89, 'Computer Science': 81, 'Economics': 92, 'History': 64}","['Scientist', 'Engineer', 'Pilot', 'Lawyer', 'Artist']",0.94,T009,P0054,Normal
S0055,Russell Williams,9,6,Male,"['Pilot', 'Artist']","['Math', 'Economics']","['Science', 'English', 'Social Science', 'Computer Science', 'History']",52,"{'Math': 78, 'Science': 89, 'English': 96, 'Social Science': 77, 'Computer Science': 58, 'Economics': 80, 'History': 72}","['Engineer', 'Pilot', 'Teacher', 'Entrepreneur', 'Writer']",0.71,T020,P0055,Normal
S0056,Richard Hebert,9,1,Female,['Data Scientist'],"['Science', 'Math', 'Computer Science']","['Economics', 'Social Science', 'History', 'English']",40,"{'Math': 68, 'Science': 92, 'English': 68, 'Social Science': 69, 'Computer Science': 76, 'Economics': 64, 'History': 93}","['Lawyer', 'Data Scientist', 'Writer', 'Teacher', 'Pilot']",0.83,T004,P0056,At Risk
S0057,Mary Pope DVM,9,3,Male,"['Artist', 'Entrepreneur']",['Science'],"['Math', 'English', 'Social Science', 'Computer Science', 'Economics', 'History']",70,"{'Math': 71, 'Science': 58, 'English': 63, 'Social Science': 81, 'Computer Science': 88, 'Economics': 62, 'History': 59}","['Pilot', 'Entrepreneur', 'Engineer', 'Artist', 'Lawyer']",0.38,T020,P0057,At Risk
S0058,Ashley Benjamin,9,9,Female,"['Doctor', 'Teacher']","['History', 'Social Science']","['Math', 'Science', 'English', 'Computer Science', 'Economics']",97,"{'Math': 82, 'Science': 98, 'English': 61, 'Social Science': 86, 'Computer Science': 100, 'Economics': 83, 'History': 59}","['Engineer', 'Entrepreneur', 'Data Scientist', 'Doctor', 'Teacher']",0.42,T021,P0058,At Risk
S0059,Jill Bradley,11,7,Female,"['Writer', 'Scientist']",['History'],"['Math', 'Science', 'English', 'Social Science', 'Computer Science', 'Economics']",68,"{'Math': 99, 'Science': 62, 'English': 96, 'Social Science': 96, 'Computer Science': 90, 'Economics': 68, 'History': 82}","['Artist', 'Scientist', 'Entrepreneur', 'Writer', 'Teacher']",0.51,T024,P0059,Normal
S0060,Katie Anderson,9,6,Female,"['Lawyer', 'Entrepreneur']",['Economics'],"['Math', 'Science', 'English', 'Social Science', 'Computer Science', 'History']",87,"{'Math': 85, 'Science': 59, 'English': 60, 'Social Science': 60, 'Computer Science': 60, 'Economics': 82, 'History': 61}","['Entrepreneur', 'Data Scientist', 'Doctor', 'Lawyer', 'Scientist']",0.64,T022,P0060,Normal
S0061,Brianna Lucas,9,7,Female,"['Scientist', 'Doctor', 'Lawyer']","['English', 'History', 'Math']","['Economics', 'Social Science', 'Computer Science', 'Science']",94,"{'Math': 91, 'Science': 87, 'English': 68, 'Social Science': 64, 'Computer Science': 97, 'Economics': 85, 'History': 69}","['Engineer', 'Entrepreneur', 'Writer', 'Doctor', 'Data Scientist']",0.65,T026,P0061,Normal
S0062,Bryan Harris,12,9,Male,"['Lawyer', 'Doctor', 'Data Scientist']","['Economics', 'English']","['Math', 'Science', 'Social Science', 'Computer Science', 'History']",65,"{'Math': 76, 'Science': 77, 'English': 55, 'Social Science': 66, 'Computer Science': 64, 'Economics': 91, 'History': 97}","['Engineer', 'Data Scientist', 'Doctor', 'Pilot', 'Entrepreneur']",0.62,T013,P0062,Normal
S0063,Susan Thompson,12,8,Female,['Entrepreneur'],"['Economics', 'English']","['Math', 'Science', 'Social Science', 'Computer Science', 'History']",43,"{'Math': 91, 'Science': 93, 'English': 60, 'Social Science': 58, 'Computer Science': 64, 'Economics': 65, 'History': 94}","['Engineer', 'Lawyer', 'Pilot', 'Entrepreneur', 'Artist']",0.58,T015,P0063,At Risk
S0064,Evan Taylor,12,5,Male,"['Engineer', 'Entrepreneur', 'Scientist']",['English'],"['Math', 'Science', 'Social Science', 'Computer Science', 'Economics', 'History']",42,"{'Math': 98, 'Science': 98, 'English': 92, 'Social Science': 86, 'Computer Science': 88, 'Economics': 97, 'History': 74}","['Artist', 'Scientist', 'Doctor', 'Pilot', 'Engineer']",0.44,T007,P0064,At Risk
S0065,Henry Brown,10,5,Female,"['Engineer', 'Doctor']","['Economics', 'Social Science']","['Math', 'Science', 'English', 'Computer Science', 'History']",75,"{'Math': 66, 'Science': 63, 'English': 79, 'Social Science': 89, 'Computer Science': 100, 'Economics': 69, 'History': 87}","['Entrepreneur', 'Engineer', 'Scientist', 'Pilot', 'Teacher']",0.23,T001,P0065,At Risk
S0066,Steve Mccarthy,12,2,Female,"['Scientist', 'Teacher', 'Writer']","['Math', 'Social Science']","['Science', 'English', 'Computer Science', 'Economics', 'History']",45,"{'Math': 56, 'Science': 75, 'English': 65, 'Social Science': 94, 'Computer Science': 84, 'Economics': 99, 'History': 78}","['Scientist', 'Engineer', 'Artist', 'Pilot', 'Lawyer']",0.52,T003,P0066,At Risk
S0067,Robert Peck,12,5,Female,['Entrepreneur'],['Math'],"['Science', 'English', 'Social Science', 'Computer Science', 'Economics', 'History']",62,"{'Math': 87, 'Science': 95, 'English': 62, 'Social Science': 88, 'Computer Science': 87, 'Economics': 67, 'History': 77}","['Data Scientist', 'Artist', 'Engineer', 'Pilot', 'Teacher']",0.36,T020,P0067,At Risk
S0068,Kelly Navarro,10,2,Male,"['Pilot', 'Teacher', 'Writer']","['Computer Science', 'Economics', 'History']","['Science', 'Social Science', 'Math', 'English']",68,"{'Math': 75, 'Science': 95, 'English': 75, 'Social Science': 64, 'Computer Science': 83, 'Economics': 59, 'History': 85}","['Lawyer', 'Teacher', 'Doctor', 'Data Scientist', 'Writer']",0.26,T015,P0068,At Risk
S0069,Christopher Nelson,12,1,Male,"['Lawyer', 'Engineer']","['History', 'Math', 'Computer Science']","['Science', 'Economics', 'Social Science', 'English']",68,"{'Math': 93, 'Science': 87, 'English': 79, 'Social Science': 84, 'Computer Science': 92, 'Economics': 90, 'History': 57}","['Teacher', 'Artist', 'Entrepreneur', 'Lawyer', 'Writer']",0.6,T002,P0069,Normal
S0070,Charles Henderson,12,2,Female,"['Engineer', 'Writer', 'Data Scientist']",['Science'],"['Math', 'English', 'Social Science', 'Computer Science', 'Economics', 'History']",63,"{'Math': 100, 'Science': 83, 'English': 83, 'Social Science': 88, 'Computer Science': 88, 'Economics': 94, 'History': 65}","['Entrepreneur', 'Lawyer', 'Scientist', 'Artist', 'Data Scientist']",0.74,T002,P0070,Normal
S0071,James Joseph,11,2,Female,['Writer'],"['Social Science', 'English', 'Economics']","['Math', 'History', 'Computer Science', 'Science']",49,"{'Math': 97, 'Science': 93, 'English': 64, 'Social Science': 76, 'Computer Science': 60, 'Economics': 92, 'History': 97}","['Entrepreneur', 'Lawyer', 'Scientist', 'Engineer', 'Writer']",0.76,T003,P0071,At Risk
S0072,Stephen Mendoza,11,9,Female,"['Entrepreneur', 'Data Scientist', 'Engineer']","['Economics', 'Social Science', 'Computer Science']","['Science', 'Math', 'History', 'English']",100,"{'Math': 78, 'Science': 56, 'English': 78, 'Social Science': 74, 'Computer Science': 66, 'Economics': 68, 'History': 76}","['Pilot', 'Artist', 'Writer', 'Engineer', 'Scientist']",0.26,T028,P0072,At Risk
